Alias	RecipientFilter
DG_EMB_VICE-PRESIDENTE-PORTUGUES	((((((CustomAttribute3 -eq 'BHZ') -or (CustomAttribute3 -eq 'BOT') -or (CustomAttribute3 -eq 'BSB') -or (CustomAttribute3 -eq 'BSB2') -or (CustomAttribute3 -eq 'CGR') -or (CustomAttribute3 -eq 'EGM') -or (CustomAttribute3 -eq 'ELEB') -or (CustomAttribute3 -eq 'ESC') -or (CustomAttribute3 -eq 'ETTE') -or (CustomAttribute3 -eq 'EVO') -or (CustomAttribute3 -eq 'FLN') -or (CustomAttribute3 -eq 'GPX') -or (CustomAttribute3 -eq 'PRT') -or (CustomAttribute3 -eq 'PTE') -or (CustomAttribute3 -eq 'SJK') -or (CustomAttribute3 -eq 'SOD') -or (CustomAttribute3 -eq 'TTE') -or (CustomAttribute3 -eq 'VCP'))) -and (((CustomAttribute5 -eq 'L1') -or (CustomAttribute5 -eq 'L1A') -or (CustomAttribute5 -eq 'L1B'))) -and (RecipientType -eq 'UserMailbox'))) ))
L4TESTE	((((((Department -like 'DPS*') -and (CustomAttribute5 -like 'L4*'))) -and (((((((((((((CustomAttribute3 -eq 'SIN') -or (CustomAttribute3 -eq 'BJS'))) -or (CustomAttribute3 -eq 'AMS'))) -or (CustomAttribute3 -eq 'LBG'))) -or (CustomAttribute3 -eq 'MIMO'))) -or (CustomAttribute3 -eq 'FLL'))) -or (CustomAttribute3 -eq 'MLB'))))) -and (-not(Name -like 'SystemMailbox{*')) -and (-not(Name -like 'CAS_{*')) -and (-not(RecipientTypeDetailsValue -eq 'MailboxPlan')) -and (-not(RecipientTypeDetailsValue -eq 'DiscoveryMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'PublicFolderMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'ArbitrationMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuxAuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'SupervisoryReviewPolicyMailbox')))
DDG_MCN_aLL	((((CustomAttribute3 -eq 'MCN') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
eve_rooms	((((Company -eq 'EVE SoluÃ§Ãµes de Mobilidade Ãreas Urbanas Ltda') -and (Alias -ne $null))) ))
DG_EMB-CARREIRA-Y-BHZ	((((CustomAttribute3 -eq 'BHZ') -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-BSB	((((CustomAttribute3 -eq 'BSB') -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-BOT	((((CustomAttribute3 -eq 'BOT') -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-EDE	((((((CustomAttribute3 -eq 'EDE') -or (CustomAttribute3 -eq '9901') -or (CustomAttribute3 -eq 'ELEB') -or (CustomAttribute3 -eq 'ETTE'))) -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-EGM	((((CustomAttribute3 -eq 'eGM') -and (CustomAttribute4 -eq 'employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-ESC	((((CustomAttribute3 -eq 'ESC') -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-GPX	((((CustomAttribute3 -eq 'GPX') -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-PTE	((((CustomAttribute3 -eq 'PTE') -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-VCP	((((CustomAttribute3 -eq 'VCP') -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-SJK	((((CustomAttribute3 -eq 'SJK') -and (CustomAttribute4 -eq 'Employee') -and (CustomAttribute8 -eq 'CY') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-Diretores-PRT	((((((CustomAttribute5 -eq 'L2') -or (CustomAttribute5 -eq 'L2A') -or (CustomAttribute5 -eq 'L2B'))) -and (CustomAttribute9 -eq 'PRT') -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB-CARREIRA-Y-FLN	((((CustomAttribute8 -eq 'CY') -and (((CustomAttribute9 -eq 'FLN') -or (CustomAttribute9 -eq 'FLN1'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMBCARREIRAY-EVE	((((((RecipientTypeDetails -eq 'UserMailbox') -and (WindowsLiveID -eq '*@eveairmobility.com'))) -and (CustomAttribute8 -eq 'CY'))) -and (-not(Name -like 'SystemMailbox{*')) -and (-not(Name -like 'CAS_{*')) -and (-not(RecipientTypeDetailsValue -eq 'MailboxPlan')) -and (-not(RecipientTypeDetailsValue -eq 'DiscoveryMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'PublicFolderMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'ArbitrationMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuxAuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'SupervisoryReviewPolicyMailbox')))
TESTE-EMBRAERPREV	((((UserPrincipalName -eq '*embraerprev.com.br#EXT#@embraer.onmicrosoft.com') -or (UserPrincipalName -eq 'paulo.monginho@ogma.pt'))) -and (-not(Name -like 'SystemMailbox{*')) -and (-not(Name -like 'CAS_{*')) -and (-not(RecipientTypeDetailsValue -eq 'MailboxPlan')) -and (-not(RecipientTypeDetailsValue -eq 'DiscoveryMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'PublicFolderMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'ArbitrationMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuxAuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'SupervisoryReviewPolicyMailbox')))
